coefficient_name,value,constrain
walk_transit_ASC_auto_deficient_eatout,-0.15537804350943,F
walk_transit_ASC_auto_deficient_escort,-2.3936272731987547,F
walk_transit_ASC_auto_deficient_othdiscr,0.8366735964905696,F
walk_transit_ASC_auto_deficient_othmaint,-0.49264907319875434,F
walk_transit_ASC_auto_deficient_school,2.4281379103901,F
walk_transit_ASC_auto_deficient_shopping,1.7194198268012455,F
walk_transit_ASC_auto_deficient_social,0.8580300664905696,F
walk_transit_ASC_auto_deficient_univ,2.027436089566085,F
walk_transit_ASC_auto_deficient_work,1.6718485591928829,F
walk_transit_ASC_auto_deficient_atwork,-13.492691524153177,F
walk_transit_ASC_auto_sufficient_eatout,-3.3453299068266302,F
walk_transit_ASC_auto_sufficient_escort,-6.176653757676887,F
walk_transit_ASC_auto_sufficient_othdiscr,-3.0390072368266297,F
walk_transit_ASC_auto_sufficient_othmaint,-2.7889239546768865,F
walk_transit_ASC_auto_sufficient_school,-2.8519206467353806,F
walk_transit_ASC_auto_sufficient_shopping,-3.445486554676888,F
walk_transit_ASC_auto_sufficient_social,-2.57801520682663,F
walk_transit_ASC_auto_sufficient_univ,0.3265753584831905,F
walk_transit_ASC_auto_sufficient_work,-2.5258241625173588,F
walk_transit_ASC_auto_sufficient_atwork,-4.560396738967353,F
ridehail_ASC_no_auto_eatout,-2.0079455386028044,F
ridehail_ASC_no_auto_escort,-0.23715074855622262,F
ridehail_ASC_no_auto_othdiscr,-2.0079455386028044,F
ridehail_ASC_no_auto_othmaint,-0.23715074855622262,F
ridehail_ASC_no_auto_school,0.0,F
ridehail_ASC_no_auto_shopping,-0.23715074855622262,F
ridehail_ASC_no_auto_social,-2.0079455386028044,F
ridehail_ASC_no_auto_univ,-4.0,F
ridehail_ASC_no_auto_work,-4.890720889403421,F
ridehail_ASC_no_auto_atwork,-7.544846851116471,F
ridehail_ASC_auto_deficient_eatout,2.280461994854919,F
ridehail_ASC_auto_deficient_escort,-4.449664002769767,F
ridehail_ASC_auto_deficient_othdiscr,2.280461994854919,F
ridehail_ASC_auto_deficient_othmaint,-4.449664002769767,F
ridehail_ASC_auto_deficient_school,-8.0,F
ridehail_ASC_auto_deficient_shopping,-4.449664002769767,F
ridehail_ASC_auto_deficient_social,2.280461994854919,F
ridehail_ASC_auto_deficient_univ,-4.882366557596634,F
ridehail_ASC_auto_deficient_work,-0.7663221212755358,F
ridehail_ASC_auto_deficient_atwork,-9.82344847076531,F
ridehail_ASC_auto_sufficient_eatout,1.2321659277353416,F
ridehail_ASC_auto_sufficient_escort,-3.829137053167119,F
ridehail_ASC_auto_sufficient_othdiscr,1.2321659277353416,F
ridehail_ASC_auto_sufficient_othmaint,-3.829137053167119,F
ridehail_ASC_auto_sufficient_school,-10.0,F
ridehail_ASC_auto_sufficient_shopping,-3.829137053167119,F
ridehail_ASC_auto_sufficient_social,1.2321659277353416,F
ridehail_ASC_auto_sufficient_univ,-3.10544968975486,F
ridehail_ASC_auto_sufficient_work,-1.0870105986636949,F
ridehail_ASC_auto_sufficient_atwork,-1.1723158531727398,F
joint_walk_ASC_no_auto_all,-0.2680860883183284,F
joint_walk_ASC_auto_deficient_all,0.6962762147310587,F
joint_walk_ASC_auto_sufficient_all,-2.047177809420919,F
joint_bike_ASC_no_auto_all,-2.2951358964828774,F
joint_bike_ASC_auto_deficient_all,-2.5281293771203286,F
joint_bike_ASC_auto_sufficient_all,-5.584376496871695,F
joint_sr2_ASC_no_auto_all,0.0,T
joint_sr2_ASC_auto_deficient_all,0.0,T
joint_sr2_ASC_auto_sufficient_all,0.0,T
joint_sr3p_ASC_no_auto_all,-1.0189506482664163,F
joint_sr3p_ASC_auto_deficient_all,-1.5804758946372546,F
joint_sr3p_ASC_auto_sufficient_all,-2.523191334352296,F
joint_walk_transit_ASC_no_auto_all,-1.849540599970613,F
joint_walk_transit_ASC_auto_deficient_all,-4.4768346443625875,F
joint_walk_transit_ASC_auto_sufficient_all,-7.361909066972458,F
walk_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
walk_transit_CBD_ASC_school_univ,0.672,F
walk_transit_CBD_ASC_work,0.804,F
walk_transit_CBD_ASC_atwork,0.564,F
drive_transit_CBD_ASC_eatout_escort_othdiscr_othmaint_shopping_social,0.525,F
drive_transit_CBD_ASC_school_univ,0.672,F
drive_transit_CBD_ASC_work,1.1,F
drive_transit_CBD_ASC_atwork,0.564,F
joint_knr_transit_ASC_auto_deficient_all,-3.438366194312367,F
joint_knr_transit_ASC_auto_sufficient_all,-4.874017430131527,F
joint_knr_transit_ASC_no_auto_all,0.7300509141688647,F
joint_pnr_transit_ASC_auto_deficient_all,-8.231411475481156,F
joint_pnr_transit_ASC_auto_sufficient_all,-11.848289121249058,F
joint_pnr_transit_ASC_no_auto_all,0.0,T
