"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2520,0.645202,7,0,232,25
2525,3.284096,7,0,232,25
2526,5.760050,7,0,232,25
2522,0.233849,7,0,232,25
2521,0.554879,7,0,232,25
2523,21.670052,7,0,252,25
2519,4.342240,7,0,234,25
2531,13.467270,7,0,232,25
2542,6.258524,7,0,233,25
2540,7.421421,7,0,233,25
2537,5.127408,7,0,233,25
2890,0.576864,7,1,0,
2889,0.645804,7,1,0,
2888,0.513142,7,1,0,
2887,0.572630,7,1,0,
2886,0.609704,7,1,0,
2884,0.431002,7,1,0,
2883,0.475518,7,1,0,
2882,0.488631,7,1,0,
2885,0.569885,7,1,0,
2583,7.889786,7,0,236,25
2675,0.825088,7,0,237,25
2686,1.009968,7,0,237,25
2685,1.062776,7,0,237,25
2614,0.036537,7,0,238,25
2687,0.778353,7,0,237,25
2677,1.205184,7,0,237,25
2678,0.910050,7,0,237,25
2658,0.542264,7,0,237,25
2659,0.353084,7,0,237,25
2679,1.437437,7,0,237,25
2661,1.834689,7,0,237,25
2663,0.957065,7,0,237,25
2640,0.199619,7,0,238,25
2644,0.425948,7,0,238,25
2680,0.618474,7,0,237,25
2642,0.425192,7,0,238,25
2643,0.326821,7,0,238,25
2632,0.475073,7,0,238,25
2634,0.366197,7,0,238,25
2638,0.165767,7,0,238,25
2636,0.149280,7,0,238,25
2645,0.358766,7,0,238,25
2641,0.234708,7,0,238,25
2637,0.092950,7,0,238,25
2615,0.091215,7,0,238,25
2545,2.605914,7,0,234,25
2584,2.315877,7,0,236,25
2662,0.457151,7,0,237,25
2627,0.315939,7,0,238,25
2618,0.200126,7,0,238,25
2664,0.920485,7,0,237,25
2577,0.546682,7,0,236,25
2579,2.439118,7,0,236,25
2668,1.254449,7,0,237,25
2666,0.104325,7,0,237,25
2578,0.382555,7,0,236,25
2665,0.883511,7,0,237,25
2660,1.374774,7,0,237,25
2602,0.611298,7,0,236,25
2576,1.594113,7,0,236,25
2582,3.877240,7,0,236,25
2581,7.550928,7,0,236,25
2580,4.210732,7,0,236,25
2601,9.617824,7,0,236,25
2575,2.127548,7,0,236,25
2598,5.631039,7,0,236,25
2600,12.534916,7,0,236,25
2590,37.370239,7,0,236,25
2543,19.847775,7,0,234,25
2574,1.389622,7,0,235,25
2570,35.996902,7,0,235,25
2588,35.868671,7,0,236,25
2571,33.773678,7,0,235,25
2589,35.823895,7,0,236,25
2572,33.793259,7,0,235,25
2573,1.498997,7,0,235,25
2567,38.253246,7,0,235,25
2569,1.665229,7,0,235,25
2566,37.063599,7,0,235,25
2565,34.150791,7,0,235,25
2518,8.802568,7,0,234,25
2541,6.398682,7,0,233,25
2549,11.730895,7,0,234,25
2517,3.830145,7,0,234,25
2550,11.685676,7,0,234,25
2463,0.989908,6,0,229,13
2471,1.030671,6,0,229,13
2470,14.940685,6,0,229,13
2481,0.540414,6,0,230,13
2480,1.890346,6,0,230,13
2833,0.406783,6,1,0,
2831,0.687629,6,1,0,
2832,0.636571,6,1,0,
2489,2.262707,6,0,230,13
2468,15.537803,6,0,230,13
2462,5.590686,6,0,229,13
2469,20.616344,6,0,229,13
2465,6.123892,6,0,229,13
2466,4.210434,6,0,229,13
2464,7.335178,6,0,229,13
2461,10.535119,6,0,229,13
2454,5.344134,6,0,229,13
2455,8.269937,6,0,229,13
2453,2.458058,6,0,229,13
2447,2.140855,6,0,228,13
2422,0.276731,6,0,251,13
2429,0.739240,6,0,226,13
2430,0.933713,6,0,226,13
2426,0.541994,6,0,251,13
