"distbin","Detroit","Livingston","Macomb","Monroe","Oakland","St. Clair","Washtenaw","Wayne","Total"
21,734.4829259,1675.9958155,8450.908946,367.9812066,9413.4188384,614.9028676,1135.2404631,10117.8407254,32510.7717885
22,4841.7042252,1049.7966871,5299.6570438,660.4970964,8090.0521398,1013.5293356,1400.7788437,7874.7879297,30230.8033013
23,1821.5246351,1612.1450155,8268.295062,326.7507926,10068.6520769,952.0056993,1256.852226,7358.3167055,31664.5422129
24,3001.9820861,1139.2393011,4973.9760736,401.6760914,8336.6227757,411.3376121,651.9140849,6027.2883276,24944.0363525
25,642.6025746,1293.7487725,3030.8365848,758.1233362,7642.4679073,794.3511107,1353.0455741,6224.5802289,21739.7560891
26,3096.4397047,1600.1342196,4882.6220952,313.8269013,7607.4776999,518.6419092,1616.6463106,7689.4842331,27325.2730736
27,79.1703204,2077.2340435,5890.9633521,412.1328861,6053.0007543,833.0042479,608.9681643,4796.1186316,20750.5924002
28,0,829.7200972,1764.0412048,894.564277,5655.9736066,785.6741524,1268.3103923,3394.2752744,14592.5590047
29,0,830.723955,3128.2828337,664.4738355,4861.8144842,765.0835245,1057.9980593,5444.5751711,16752.9518633
30,117.2764349,1197.1236658,2238.2067869,326.7524831,4670.3538556,468.3588702,1030.3110096,2947.832994,12996.2161001
31,556.495138,1696.4522158,2333.9500026,557.7366208,5739.9729307,529.1351148,885.3144188,2753.0146566,15052.0710981
32,178.3166609,1279.0894621,1131.8946955,495.8081771,3594.2259998,476.5283497,301.0161883,1980.3773978,9437.2569312
33,196.9306028,1179.3132445,2003.2032042,408.7901364,3804.6403465,778.4806248,1120.4611092,2312.9693335,11804.7886019
34,203.1657667,1296.7860009,2885.1986198,1057.0178354,3138.4900652,306.9523599,657.9477185,1634.9069819,11180.4653483
35,75.3030938,608.6237047,2101.7061477,575.1682104,953.5555502,276.0582737,1536.3726297,1436.3457545,7563.1333647
36,0,1615.7662608,2365.0460336,456.8187152,1652.0099667,534.8886005,1552.6439043,1736.8473007,9914.0207818
37,677.4757346,447.8673452,368.0515505,823.036862,1247.0737429,712.2305903,370.2619191,882.545338,5528.5430826
38,387.5337009,689.1695472,397.2294045,460.6217802,1899.6895794,172.3234933,328.1924572,1541.7950907,5876.5550534
39,0,386.671133,488.0532717,441.0087739,990.429657,204.7856751,641.934357,795.5178996,3948.4007673
40,0,546.1484736,1370.597443,653.2179695,2250.6650013,679.0906536,571.6474341,1310.5799878,7381.9469629
41,0,407.3261101,294.9282182,570.5165544,408.8683881,653.3424564,163.9480911,1164.5406826,3663.4705009
42,0,125.5682204,651.2573849,299.3478189,474.3755499,567.2465528,535.7951261,318.0448276,2971.6354806
43,0,772.8600866,213.1079326,267.0959242,1394.0194557,341.0103524,602.3873835,514.5055358,4104.9866708
44,525.7022254,421.685251,171.1746455,247.4406175,1136.2307856,469.1400844,349.608847,498.1792205,3819.1616769
45,74.2582088,455.9938572,411.7518236,54.7649425,956.2564691,310.9990752,293.9413183,840.2125076,3398.1782023
46,0,883.8317742,0,126.5707159,1897.0327971,72.6446636,65.2399602,0,3045.319911
47,0,1269.0244409,293.3215451,183.1487385,804.8923653,868.7533525,292.2512716,0,3711.3917139
48,0,393.2763424,0,132.8769144,335.8690633,160.6331519,87.2831709,364.3414235,1474.2800664
49,0,200.6255377,207.1958838,132.6084377,0,120.3644887,132.9726369,790.0720503,1583.8390351
50,0,85.9054682,67.4741594,131.6518475,243.6700802,565.493364,142.2002441,527.0016934,1763.3968568
51,323.8818888,2613.7424431,4571.0351417,1591.3540488,1576.8572756,2792.9170458,1238.1393393,1697.1669796,16405.0941627
