"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"30",91233.2168736594,5865.0622810452,37107.867276904,9990.15371126364,36698.9037119432,35600.9489922875,4586.264489192,2250.529716362,121.26634716
"31",80941.6264789905,6047.4330524866,31677.269799424,14449.4525277568,32253.8439017632,47976.0827615761,4689.141301169,5080.903334463,754.35502639
"32",63600.9746479693,2355.479954326,27390.489627728,14377.5844966558,26354.651488149,38721.6905006701,5027.349045523,8627.494688843,169.383584576
"33",45242.2466400096,3767.596965987,19671.0891998,5224.644352735,23703.3620126709,27213.1466883545,2469.332337603,4720.11547130548,378.396896876
"34",38398.5355571041,3607.513874428,14045.757922848,9718.6069371229,27385.9553037728,31054.2688629303,3360.42274259,2822.504755841,0
"35",29778.6647043781,6018.609026286,16076.649694728,9606.3461061125,15895.343674159,30168.9763994702,2433.777068833,3089.577704321,0
"36",22966.8044917306,3971.195575076,5789.73494262,9876.432041736,12281.913955908,27508.238628793,1756.629513128,1723.118876976,71.4641302
"37",19040.737141497,2660.870145236,5332.41651812,2360.916284872,4927.154513032,18038.2269506273,1383.02548242,3172.34739310832,699.0461888
"38",15033.140387377,2177.435988908,1980.63668814,1506.507668717,3855.964746332,10095.727361223,250.738927062,471.238813345,0
"39",11871.109411543,3069.117927639,1100.961146992,3738.993655263,2123.421486521,5673.32397669492,541.091042941,719.87060653,0
"40",5071.431438333,2820.75405634,185.449446692,216.8541089705,693.244088082,4947.531817504,1012.830125002,90.86255703,0
"41",5319.973119056,296.0001835,86.2536482,192.633672566,1543.887686853,3605.5284759868,95.424874965,626.692651034,0
"42",3230.744489586,571.373317764,0,887.2561872,760.462111135,4121.06176022892,110.4046472,0,112.7202702
"43",1553.85048772,538.5647987,0,1539.650655728,546.56448113,4425.47685907396,0,0,0
"44",469.124831819,447.7360694,0,437.506200316,294.85912729,3105.295343462,0,0,0
"45",937.34303164,0,0,0,966.7301697572,597.356508042,0,0,0
"46",437.314625699,0,0,82.44574073,271.487369358,2740.80814217742,0,0,0
"47",18.323738895,0,0,0,216.74985431,2031.5950233,0,0,0
"48",0,0,0,376.517674696,41.22391336,2127.97342314,0,0,0
"49",0,0,0,0,0,0,0,0,0
