"id","purpose","freq_dep","freq_arr","freq_dur"
6,"work",75165.903967024,0,8950.282316563
7,"atwork",893.02852309,218.756049905,2183.405207408
7,"esc",7711.781707699,2057.827926826,9847.06857752
7,"idisc",8641.251129899,1862.113184025,74800.826654117
7,"imain",12247.662290467,1362.325175191,57922.928363898
7,"jdisc",353.156867683,323.665767776,12515.894755972
7,"jmain",83.118135514,0,9330.03881323
7,"sch",20885.874876584,0,4208.016746932
7,"Total",168408.633686769,5951.634209608,196048.483899518
7,"univ",3102.534937005,0,13401.383490563
7,"work",114490.225218828,126.946105885,11838.921289878
8,"atwork",1717.947632768,676.133887898,3713.274558961
8,"esc",20984.235823526,5029.891229162,4211.256712975
8,"idisc",13948.925490694,3134.866493312,59948.739349689
8,"imain",16515.138429936,1245.577487406,49043.840526518
8,"jdisc",512.291296892,948.59567507,8159.910489988
8,"jmain",241.26841273,0,10092.844399058
8,"sch",124936.192990908,0,8377.11609566
8,"Total",388247.898023748,11163.421758108,167512.464289102
8,"univ",12475.804843239,0,9862.428668475
8,"work",196916.093103055,128.35698526,14103.053487778
9,"atwork",1204.139941466,846.137622735,1168.57209468
9,"esc",39073.787402268,16277.745332251,2520.464052491
9,"idisc",30272.7493883,2038.807492761,46566.3949744
9,"imain",27605.344199321,1363.276365159,37758.278144649
9,"jdisc",286.103207769,0,5400.208377802
9,"jmain",1170.06576446,0,3891.000892516
9,"sch",207045.409466356,69.2104672,4613.471114316
9,"Total",542814.81132033,20810.923395406,132145.342250576
9,"univ",20316.197719928,0,9944.945938619
9,"work",215841.014230462,215.7461153,20282.006661103
10,"atwork",3708.261809704,1080.658188988,786.108023086
10,"esc",51221.971520354,36735.93622989,5016.051741208
10,"idisc",31115.535872715,5215.118843392,39463.397186439
10,"imain",26581.459710266,1686.344978348,30161.486685212
10,"jdisc",772.107685764,299.444963746,8379.344646979
10,"jmain",2661.517437448,576.369393075,4053.414809723
10,"sch",181669.42814316,149.5772138,5564.37560768
10,"Total",515201.553086072,48856.883201561,135005.011277771
10,"univ",15046.658393487,2221.385399328,9605.8863613
10,"work",202424.612513174,892.047990994,31974.946216144
11,"atwork",2604.856354223,2284.533637918,366.287030576
11,"esc",38157.70834467,47772.579280392,5023.219746362
11,"idisc",40946.007506857,6383.391191237,32740.213553267
11,"imain",60263.846862779,5481.119084268,31347.083203965
11,"jdisc",2218.775124023,179.43280306,1928.511683368
11,"jmain",2028.888712845,441.0288712,3038.04709413
11,"sch",138393.733966908,282.6485333,3870.87642596
11,"Total",455805.358905309,65490.86230957,106647.097062123
11,"univ",21759.136025139,2185.6605871,6654.508021534
11,"work",149432.406007865,480.468321095,21678.350302961
12,"atwork",5903.22909657,4183.659864623,411.8687929
12,"esc",30541.481104056,33170.809884586,2500.343010324
12,"idisc",39578.025243205,6321.138955416,22285.137006402
12,"imain",57548.978051402,6758.903894579,23024.551049794
12,"jdisc",3795.353128937,72.24651999,1101.494268701
12,"jmain",3983.653258955,182.060069,1718.612717476
12,"sch",80022.74438206,353.0078472,3660.035674
12,"Total",335014.849023136,57649.414331787,88814.11645837
12,"univ",18614.235351953,5060.465117056,7237.915797692
12,"work",95027.149405998,1547.122179337,26874.158141081
13,"atwork",4322.354474407,1885.598016351,388.27578062
13,"esc",10910.494116632,24024.214506403,1123.035176184
13,"idisc",47050.935950432,8204.092566471,14622.150663999
13,"imain",70732.135255508,16991.634870062,16506.271202637
13,"jdisc",4547.242716563,1480.16579738,1735.003245204
13,"jmain",7851.989135015,1380.460066866,1109.233107934
13,"sch",10251.9301441,210.4882064,2280.454260952
13,"Total",226932.66155074,57151.479675031,71804.681363152
13,"univ",19282.827005223,1715.022824828,7003.439649235
13,"work",51982.75275286,1259.80282027,27036.818276387
14,"atwork",5886.74396014,2238.819497544,256.44410169
14,"esc",7869.363619629,16882.782776706,2012.099712543
14,"idisc",30424.48439804,9917.633562261,13761.189053572
14,"imain",53997.899491881,22277.609266647,8869.075296493
14,"jdisc",4202.882118529,1130.584976538,2060.677434424
14,"jmain",7879.060911009,1232.20946478,1554.175906056
14,"sch",3636.139835052,1158.6918631,10381.384965588
14,"Total",177140.633289857,58432.820657256,71866.6508361
14,"univ",12467.348669587,2782.056804725,5210.011516366
14,"work",50776.71028599,812.432444955,27761.592849368
15,"atwork",5845.672378018,5154.893540362,351.322950622
15,"esc",5089.832408342,2832.788623229,675.774183577
15,"idisc",27514.291704946,12859.455943842,13523.132851196
15,"imain",74392.051457791,29151.273067866,12710.690717209
15,"jdisc",5586.073639742,1107.046670603,1033.264937302
15,"jmain",9263.712142644,3898.13293242,225.3593147
15,"sch",1534.5420895,511.2944192,25722.016132128
15,"Total",162553.276842972,61555.820842284,84881.721675075
15,"univ",8137.850018902,4495.57787026,8374.432246688
15,"work",25189.251003087,1545.357774502,22265.728341653
16,"atwork",8028.978166247,3059.226533584,741.069108255
16,"esc",6644.946967098,2172.439291877,2061.635522973
16,"idisc",22599.134055551,12090.856765882,13290.977843918
16,"imain",48434.815868891,41276.968643184,8065.538111325
16,"jdisc",2008.118731081,1867.058359364,767.478772614
16,"jmain",7430.4597932,3183.534349818,844.79248658
16,"sch",1470.96060734,1160.066566784,127509.062035228
16,"Total",113446.005265037,68141.011354595,191318.257855803
16,"univ",2850.389832553,882.392979708,10024.650246275
16,"work",13978.201243076,2448.467864394,28013.053728635
17,"atwork",20928.721940028,4762.566415373,143.73751922
17,"esc",6020.551823626,3135.674577375,2400.242306665
17,"idisc",26285.521022614,21429.910462393,6619.08700553
17,"imain",57436.824616721,43292.636899016,9881.663446221
17,"jdisc",3409.052508474,2373.379333442,18.0505115
17,"jmain",5877.182726063,5795.851963504,509.64885013
17,"sch",1225.224365756,2165.2743653,172344.943998692
17,"Total",136229.144557672,95669.873929766,253911.441200847
17,"univ",3252.598363,4977.142364248,11441.475591125
17,"work",11793.46719139,7737.437549115,50552.591971764
18,"atwork",41719.007016837,12312.277182538,224.413003241
18,"esc",8872.430270688,6757.498300389,616.089616615
18,"idisc",26251.481878343,22616.08206914,8973.287778031
18,"imain",41754.497369284,49273.047554044,12404.392281299
18,"jdisc",3344.482626929,2012.424985806,0
18,"jmain",5665.424204407,2699.90826383,1034.44612149
18,"sch",2011.742454156,4372.08216002,100452.743031616
18,"Total",146983.998187807,108431.592369076,196340.447301128
18,"univ",5111.422166279,3272.686992538,8494.489537792
18,"work",12253.510200884,5115.584860771,64140.585931044
19,"atwork",47487.751213437,35316.30037584,0
19,"esc",9189.494163207,9507.503820046,3633.534823968
19,"idisc",23141.287900287,22452.380467199,6298.971234604
19,"imain",50788.137034358,48204.410534343,10509.949119947
19,"jdisc",2116.596877043,3400.111137919,389.241335277
19,"jmain",5007.301658436,7926.40296829,129.809778988
19,"sch",1980.159567648,9146.62596264,53096.629595036
19,"Total",158575.057857533,159073.765547294,186458.20158265
19,"univ",5997.699936816,7679.263994382,2509.57509377
19,"work",12866.629506301,15440.766286635,109890.49060106
20,"atwork",19881.416470862,40652.064355074,550.67795076
20,"esc",4703.570975881,6400.909377328,941.8615286
20,"idisc",20592.127356895,21662.71095476,6167.580570257
20,"imain",35106.741704421,47332.018023679,11849.551711603
20,"jdisc",2854.622418081,1335.038383854,504.37065934
20,"jmain",4363.809543767,4357.867194707,133.75476378
20,"sch",2072.585894276,4529.99322396,54256.333752384
20,"Total",117190.158336389,140490.612370394,240133.134671182
20,"univ",4647.8843746,3884.346607954,3171.042870111
20,"work",22967.399597606,10335.664249078,162557.960864347
21,"atwork",18315.591870264,33435.90318005,0
21,"esc",4333.717582221,5018.359725465,1994.955835762
21,"idisc",16704.533632812,20327.576785059,7679.826554489
21,"imain",58664.280251569,47783.409314621,6221.53408505
21,"jdisc",1197.995131071,4338.299649853,128.834420345
21,"jmain",8947.928918672,4899.567216484,151.5406957
21,"sch",102.7979443,2890.953096372,41323.92160268
21,"Total",127954.087737005,139009.451563331,236047.361871863
21,"univ",5709.037336453,5245.082890777,4415.488519645
21,"work",13978.205069643,15070.29970465,174131.260158192
22,"atwork",13951.008695677,23056.95067533,75.684194136
22,"esc",11071.862942137,2920.503295214,2914.289430281
22,"idisc",20438.761005349,18849.941946248,7685.527905132
22,"imain",35545.117987449,48863.274018549,7220.413681391
22,"jdisc",1049.176370256,2328.875952958,0
22,"jmain",9092.930662447,7239.350696212,363.255309742
22,"sch",1028.380355216,5171.474682788,38219.069218328
22,"Total",116323.033388968,130850.599742577,206719.171778906
22,"univ",3805.686156478,7876.226122761,3201.748809903
22,"work",20340.109213959,14544.002352517,147039.183229993
23,"atwork",4534.91326251,17431.720391615,0
23,"esc",23664.839742495,3356.431516882,464.551873849
23,"idisc",16598.781353951,21528.149756858,9057.820220328
23,"imain",44520.242335604,54698.450292456,6110.632689525
23,"jdisc",1393.240746414,1808.997724678,71.838719925
23,"jmain",3750.44923617,5955.347631702,0
23,"sch",0,13723.02078388,20528.3690566
23,"Total",115837.155870851,138582.829093652,149480.429955278
23,"univ",4279.408092917,7734.86875393,1318.460887136
23,"work",17095.28110079,12345.842241651,111928.756507915
24,"atwork",5299.0676897,10260.879691718,0
24,"esc",40354.828591434,15965.97692065,276.842393137
24,"idisc",28412.335258826,22432.813914042,4674.763858287
24,"imain",38663.5438895,54091.909709474,6043.916974564
24,"jdisc",1411.712622231,2700.637569059,132.811557395
24,"jmain",4625.540771757,6336.190831255,58.253555937
24,"sch",1106.722149608,68955.884095604,21140.659881848
24,"Total",139674.239886311,227986.641714209,139360.705965007
24,"univ",3634.170078771,9609.510445715,3120.772653289
24,"work",16166.318834484,37632.838536692,103912.68509055
25,"atwork",5384.826791734,7926.560323635,0
25,"esc",51641.798465865,32711.239983965,422.997888023
25,"idisc",21361.588627432,27979.040735002,2954.052062079
25,"imain",40782.344218796,57989.691335201,3432.635949339
25,"jdisc",3461.885392973,3331.882534026,0
25,"jmain",5403.524342203,11901.806914745,33.8593099
25,"sch",944.341441752,108471.453131728,14367.726436864
25,"Total",147675.689968929,302869.190341768,102547.954468636
25,"univ",3364.407811509,11692.312147465,1297.727225767
25,"work",15330.972876665,40865.203236001,80038.955596664
26,"atwork",3723.918806982,6892.287960485,0
26,"esc",32125.797131487,45074.653316922,1111.622892535
26,"idisc",38490.02399225,31139.433172042,2520.485758335
26,"imain",28298.999471574,48399.977234539,1904.652592677
26,"jdisc",2179.311332995,2000.578633421,39.9310275
26,"jmain",3903.726541239,7051.418149944,161.57085168
26,"sch",1004.558564044,119106.774554612,18358.870409796
26,"Total",128634.886496606,329455.747310537,84395.277775802
26,"univ",3551.447613261,10768.402523274,2876.268763496
26,"work",15357.103042774,59022.221765298,57421.875479783
27,"atwork",8229.511153546,4040.957293588,0
27,"esc",26588.018734509,53786.856134492,66.744397
27,"idisc",45977.92177417,32294.807628947,3846.752574511
27,"imain",32660.023697646,57976.078751199,2316.713586207
27,"jdisc",5615.056993381,1491.870690182,345.0471972
27,"jmain",6641.428957197,5584.93172386,15.87495315
27,"sch",3017.98874908,128715.370366492,5357.878267548
27,"Total",144291.910435699,389980.313627071,52248.237845145
27,"univ",4778.286168174,11856.573625433,1570.6963995
27,"work",10783.674207996,94232.867412878,38728.530470029
28,"atwork",2644.21053495,4711.390784637,0
28,"esc",24191.961287598,31210.375805133,112.529719561
28,"idisc",40856.783854051,22767.445691723,387.388391903
28,"imain",27254.847253953,51621.948749814,680.925595929
28,"jdisc",7613.536413239,2646.460283473,0
28,"jmain",4055.870446297,6447.391133782,0
28,"sch",3469.477257548,70052.015076864,4420.015802244
28,"Total",125785.499921425,315879.885204561,34950.127918878
28,"univ",5503.98295231,8600.460921843,3248.752575224
28,"work",10194.829921479,117822.396757292,26100.515834017
29,"atwork",2079.410770732,9073.855008961,0
