id,purpose,freq_dep,freq_arr,freq_dur
9,esc,39073.7874,16277.74533,2520.464052
9,idisc,30272.74939,2038.807493,46566.39497
9,imain,27605.3442,1363.276365,37758.27814
9,jdisc,286.1032078,0,5400.208378
9,jmain,1170.065764,0,3891.000893
9,sch,207045.4095,69.2104672,4613.471114
9,Total,521230.7099,20810.9234,132145.3423
9,univ,20316.19772,0,9944.945939
9,work,194256.9128,215.7461153,20282.00666
10,atwork,3708.26181,1080.658189,786.1080231
10,esc,51221.97152,36735.93623,5016.051741
10,idisc,31115.53587,5215.118843,39463.39719
10,imain,26581.45971,1686.344978,30161.48669
10,jdisc,772.1076858,299.4449637,8379.344647
10,jmain,2661.517437,576.3693931,4053.41481
10,sch,181669.4281,149.5772138,5564.375608
10,Total,494959.0918,48856.8832,135005.0113
10,univ,15046.65839,2221.385399,9605.886361
10,work,182182.1513,892.047991,31974.94622
11,atwork,2604.856354,2284.533638,366.2870306
11,esc,38157.70834,47772.57928,5023.219746
11,idisc,40946.00751,6383.391191,32740.21355
11,imain,60263.84686,5481.119084,31347.0832
11,jdisc,2218.775124,179.4328031,1928.511683
11,jmain,2028.888713,441.0288712,3038.047094
11,sch,138393.734,282.6485333,3870.876426
11,Total,440862.1183,65490.86231,106647.0971
11,univ,21759.13603,2185.660587,6654.508022
11,work,134489.1654,480.4683211,21678.3503
12,atwork,5903.229097,4183.659865,411.8687929
12,esc,30541.4811,33170.80988,2500.34301
12,idisc,39578.02524,6321.138955,22285.13701
12,imain,57548.97805,6758.903895,23024.55105
12,jdisc,3795.353129,72.24651999,1101.494269
12,jmain,3983.653259,182.060069,1718.612717
12,sch,80022.74438,353.0078472,3660.035674
12,Total,325512.1341,57649.41433,88814.11646
12,univ,18614.23535,5060.465117,7237.915798
12,work,85524.43447,1547.122179,26874.15814
13,atwork,4322.354474,1885.598016,388.2757806
13,esc,10910.49412,24024.21451,1123.035176
13,idisc,47050.93595,8204.092566,14622.15066
13,imain,70732.13526,16991.63487,16506.2712
13,jdisc,4547.242717,1480.165797,1735.003245
13,jmain,7851.989135,1380.460067,1109.233108
13,sch,10251.93014,210.4882064,2280.454261
13,Total,140968.534,57151.47968,71804.68136
13,univ,19282.82701,1715.022825,7003.439649
13,work,51982.75275,1259.80282,27036.81828
14,atwork,5886.74396,2238.819498,256.4441017
14,esc,7869.36362,16882.78278,2012.099713
14,idisc,30424.4844,9917.633562,13761.18905
14,imain,53997.89949,22277.60927,8869.075296
14,jdisc,4202.882119,1130.584977,2060.677434
14,jmain,7879.060911,1232.209465,1554.175906
14,sch,3636.139835,1158.691863,10381.38497
14,Total,177140.6333,58432.82066,71866.65084
14,univ,12467.34867,2782.056805,5210.011516
14,work,50776.71029,812.432445,27761.59285
15,atwork,5845.672378,5154.89354,351.3229506
15,esc,5089.832408,2832.788623,675.7741836
15,idisc,27514.2917,12859.45594,13523.13285
15,imain,74392.05146,29151.27307,12710.69072
15,jdisc,5586.07364,1107.046671,1033.264937
15,jmain,9263.712143,3898.132932,225.3593147
15,sch,1534.54209,511.2944192,25722.01613
15,Total,162553.2768,61555.82084,84881.72168
15,univ,8137.850019,4495.57787,8374.432247
15,work,25189.251,1545.357775,22265.72834
16,atwork,8028.978166,3059.226534,741.0691083
16,esc,6644.946967,2172.439292,2061.635523
16,idisc,22599.13406,12090.85677,13290.97784
16,imain,48434.81587,41276.96864,8065.538111
16,jdisc,2008.118731,1867.058359,767.4787726
16,jmain,7430.459793,3183.53435,844.7924866
16,sch,1470.960607,1160.066567,127509.062
16,Total,113446.0053,68141.01135,191318.2579
16,univ,2850.389833,882.3929797,10024.65025
16,work,13978.20124,2448.467864,28013.05373
17,atwork,20928.72194,4762.566415,143.7375192
