"timebin","purpose","freq_stop","freq_trip"
41,"imain",1543.887686853,3400.403492613
42,"imain",760.462111135,2144.137844345
43,"imain",546.56448113,1077.486970678
44,"imain",294.85912729,675.334297788
45,"imain",966.7301697572,1263.3158152322
46,"imain",271.487369358,338.859480318
47,"imain",216.74985431,506.66350551
48,"imain",41.22391336,41.22391336
49,"imain",0,0
5,"imain",37.6229409,2415.47576213
6,"imain",845.614632407,4760.63510639
7,"imain",714.751518029,14727.583284032
8,"imain",3293.249914656,20873.593447694
9,"imain",4924.967701585,34389.227989708
1,"jdisc",0,0
10,"jdisc",0,1916.447857596
11,"jdisc",0,3059.497389975
12,"jdisc",253.288200106,5510.242789677
13,"jdisc",802.04588587,8727.890866653
14,"jdisc",1357.997087885,8038.000722624
15,"jdisc",3051.035157536,12127.669875033
16,"jdisc",2507.751673677,6662.311573438
17,"jdisc",2257.015370817,7896.855519025
18,"jdisc",2684.160471995,11460.348041467
19,"jdisc",2614.139318029,7354.8626795101
2,"jdisc",0,0
20,"jdisc",3111.690551896,8673.925433933
21,"jdisc",1758.63075887,8552.39923926748
22,"jdisc",2811.24331392792,7166.20724230292
23,"jdisc",2988.73318608696,6912.29666765306
24,"jdisc",2714.387587211,6901.38780992926
25,"jdisc",1877.9107102071,10108.2664883314
26,"jdisc",2700.2744290113,6943.9183380973
27,"jdisc",2079.994139969,10778.3981317043
28,"jdisc",2631.11046541532,12095.0404072123
29,"jdisc",1320.80843933832,18682.5807354023
3,"jdisc",0,0
30,"jdisc",2250.529716362,24947.5479495275
31,"jdisc",5080.903334463,32887.6399891
32,"jdisc",8627.494688843,35496.147081501
33,"jdisc",4720.11547130548,27138.5456870155
34,"jdisc",2822.504755841,19930.340955734
35,"jdisc",3089.577704321,23469.9920680343
36,"jdisc",1723.118876976,18821.55340291
37,"jdisc",3172.34739310832,13396.7975164483
38,"jdisc",471.238813345,10257.844069427
39,"jdisc",719.87060653,5649.510741527
4,"jdisc",0,148.9110204
40,"jdisc",90.86255703,415.841330187
41,"jdisc",626.692651034,894.330350149
42,"jdisc",0,202.996880028
43,"jdisc",0,0
44,"jdisc",0,0
45,"jdisc",0,0
46,"jdisc",0,0
47,"jdisc",0,0
48,"jdisc",0,0
49,"jdisc",0,0
5,"jdisc",0,1151.780686626
6,"jdisc",0,488.120233886
7,"jdisc",175.923701517,561.789974918
8,"jdisc",0,1566.673518104
9,"jdisc",366.195851076,1074.567285018
1,"jmain",0,0
10,"jmain",0,2102.500931036
11,"jmain",828.795835244,4079.166527949
12,"jmain",323.79130828,5070.28621714368
13,"jmain",1662.370493944,10915.49769125
14,"jmain",4206.60865911,16006.918645022
15,"jmain",3239.086520064,19695.0323090324
16,"jmain",4593.71388748,18536.8042558417
17,"jmain",6480.90256695168,19270.2138624791
18,"jmain",7219.65832252278,21012.128474207
19,"jmain",9004.37055490436,22926.3484831824
2,"jmain",0,0
20,"jmain",7430.74350405,19738.780845982
21,"jmain",7480.16301235784,21721.0244187618
22,"jmain",11802.6992628154,28669.7299993752
23,"jmain",10691.3959017137,20907.77567334
24,"jmain",15999.2007094145,27558.8769093285
25,"jmain",9938.39418285352,25639.5565305735
26,"jmain",6748.533912038,16620.5756051362
27,"jmain",3387.11055049,15689.256551889
28,"jmain",3716.541464236,13682.246673477
29,"jmain",3122.701856685,17038.490035706
3,"jmain",0,0
30,"jmain",4586.264489192,15781.374716573
31,"jmain",4689.141301169,13503.460957997
32,"jmain",5027.349045523,13924.588108779
33,"jmain",2469.332337603,12484.337863732
34,"jmain",3360.42274259,10188.86997644
35,"jmain",2433.777068833,9434.450884433
36,"jmain",1756.629513128,3202.412882958
37,"jmain",1383.02548242,3406.704163693
38,"jmain",250.738927062,2163.548596222
39,"jmain",541.091042941,1234.217653149
4,"jmain",0,0
40,"jmain",1012.830125002,1161.779803467
41,"jmain",95.424874965,95.424874965
42,"jmain",110.4046472,163.9294507
43,"jmain",0,0
44,"jmain",0,0
45,"jmain",0,0
46,"jmain",0,0
47,"jmain",0,0
48,"jmain",0,0
49,"jmain",0,0
5,"jmain",0,316.703264
6,"jmain",207.7731817,333.565318894
7,"jmain",26.492613936,108.414927781
8,"jmain",0,203.607317793
9,"jmain",0,1340.809372444
1,"sch",0,0
10,"sch",27854.101489444,209673.106846404
11,"sch",14893.554539976,153369.176592484
12,"sch",11171.493799724,91638.503320884
13,"sch",4796.8542322,15876.2788988
14,"sch",1494.528351924,6663.783887292
15,"sch",1373.674617736,4165.184613972
16,"sch",2956.911153092,5358.787374652
17,"sch",3381.871969776,9962.646003024
18,"sch",4569.709591852,17377.790902292
19,"sch",3778.948249228,15495.426370532
2,"sch",0,0
20,"sch",1927.20778868,7459.020590056
21,"sch",2393.195847868,6214.003833644
22,"sch",4281.109863052,12645.230582748
23,"sch",7516.985280752,65096.419296425
24,"sch",15981.334218709,132561.677241197
25,"sch",28384.730725964,180248.109553148
26,"sch",50398.713825468,207637.586411356
27,"sch",29347.177072424,127432.674310268
