"","SAMPNO","PERNO","AGE","AAGE","AGE_AAGE","AGE18","SEX","LIC","NOLIC","NOLIC_O","DRIVE","NODRIVE","NODRIVE_O","EMPLY","EMPYTYPE","EMPYTYPE_O","JOBS","EMPLYNOJOB","WKSTAT","WKSTAT_O","WPLACE","WMODE","WMODE_O","INDUS","INDUS_O","DELIV_DRIV","TCOFF","TCDAYS","STUDE","SCHOL","SCHOL_O","SLOC","SWEB","SMODE","SMODE_O","EDUC","EDUC_O","NOGOWHY","NOGOWHY_O","PERTRIPS","PERTYPE","PERRKWT0"
"15863",3125419,2,36,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,8,1,50.8855332
"15864",3125540,1,53,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,31,NA,2,1,1,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,1,50.2400166
"15865",3125540,2,52,NA,4,NA,2,1,NA,NA,1,NA,NA,1,2,NA,1,NA,0,NA,1,4,NA,61,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,1,42.8967272
"15866",3125540,3,17,NA,3,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,2,NA,4,NA,1,NA,NA,NA,2,6,87.4761541
"15867",3125540,4,14,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,1,NA,NA,NA,2,7,53.6537182
"15868",3125540,5,11,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,3,7,55.1607656
"15869",3125554,1,73,NA,5,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,5,88.4801575
"15870",3125554,2,75,NA,5,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,6,NA,0,5,126.8818246
"15871",3125623,1,63,NA,4,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,5,64.42591
"15872",3125681,1,42,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,1,61.9304505
"15873",3125700,1,27,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,1,1,1,8,NA,NA,2,4,NA,5,NA,NA,NA,5,3,87.5853625
"15874",3125700,2,28,NA,4,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,2,4,NA,6,NA,NA,NA,2,3,173.0037257
"15875",3125725,1,49,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,31,NA,2,1,1,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,1,538.1721154
"15876",3125727,1,37,NA,4,NA,2,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,4,213.5815705
"15877",3125727,2,36,NA,4,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,4,264.6237179
"15878",3125727,3,7,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,7,NA,1,NA,NA,NA,2,7,220.9003794
"15879",3125747,1,66,NA,5,NA,2,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,5,51.637882
"15880",3125759,1,33,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,31,NA,2,-8,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,1,130.8484142
"15881",3125759,2,33,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,62,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,1,123.9518307
"15882",3125759,3,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,-7,NA,0,8,145.4370868
"15883",3125813,1,54,NA,4,NA,1,1,NA,NA,1,NA,NA,1,2,NA,1,NA,0,NA,1,4,NA,48,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,1,58.2993693
"15884",3125813,2,18,NA,4,NA,2,2,97,"IN PROCESS/LEARNING TO DRIVE",NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,2,5,NA,2,NA,NA,NA,2,3,78.0151394
"15885",3125839,1,-7,4,4,NA,2,1,NA,NA,1,NA,NA,1,-7,NA,1,NA,0,NA,-7,4,NA,-7,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,130.4036233
"15886",3125839,2,-7,4,4,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,4,5,202.6702974
