"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Oakland","Livingston","Auto 2 Person","School",2267.418637996
"Livingston","Washtenaw","Auto SOV","Discretionary",979.625893012
"Washtenaw","Livingston","Auto SOV","Discretionary",1210.720294228
"Monroe","Wayne","Auto SOV","Visiting",624.006686554
"Wayne","Monroe","Auto SOV","Visiting",679.635866253
"Monroe","Monroe","Auto SOV","Maintenance",22589.537085906
"Detroit","Macomb","Auto SOV","Discretionary",1357.531938689
"Macomb","Detroit","Auto SOV","Discretionary",2616.062871179
"Livingston","Oakland","Auto 3+ Person","Maintenance",645.59797143
"Oakland","Oakland","Auto 3+ Person","Maintenance",40443.609969725
"Oakland","Livingston","Auto 3+ Person","Maintenance",1048.070175982
"Washtenaw","Wayne","Auto SOV","University",4288.2620132
"Wayne","Washtenaw","Auto SOV","University",4254.9454432
"Washtenaw","Wayne","Auto SOV","Work",31623.1117762316
"Wayne","Detroit","Walk-Transit","Maintenance",5561.176178871
"Detroit","Wayne","Walk-Transit","Maintenance",5919.355878771
"Oakland","Oakland","Walk","Discretionary",83210.390568305
"Oakland","Oakland","Auto SOV","Eating Out",62558.6187688391
"St. Clair","St. Clair","Auto 2 Person","Shop",28285.919262918
"St. Clair","Macomb","Auto SOV","Work",13869.880741698
"Macomb","St. Clair","Auto SOV","Work",13414.248905559
"Monroe","Monroe","Auto SOV","School",2474.14524606
"Detroit","Detroit","Walk","School",25252.257901812
"Livingston","Detroit","Auto 3+ Person","Discretionary",52.516920386
"Detroit","Livingston","Auto 3+ Person","Discretionary",118.556428727
"Livingston","Livingston","Auto 2 Person","Maintenance",21396.3945731468
"Livingston","Oakland","Auto 2 Person","Work-based",32.443631955
"Oakland","Livingston","Auto 2 Person","Work-based",465.798959049
"Livingston","Oakland","Auto SOV","Discretionary",1697.760022984
"Oakland","Livingston","Auto SOV","Discretionary",1870.419080752
"Wayne","Wayne","Auto 2 Person","Work",128845.341691945
"Monroe","Monroe","Auto 2 Person","Maintenance",14822.597308946
"Monroe","Washtenaw","Auto 2 Person","Maintenance",872.560781362
"Washtenaw","Monroe","Auto 2 Person","Maintenance",770.356887362
"Monroe","Monroe","Auto 2 Person","Visiting",5278.949328226
"Wayne","Macomb","Auto SOV","Maintenance",7508.159249471
"Macomb","Oakland","Auto SOV","Maintenance",13674.9967479947
"Oakland","Wayne","Auto 2 Person","Shop",11280.309219478
"Wayne","Oakland","Auto 2 Person","Shop",12585.065276508
"Oakland","Wayne","Bike/Moped","Eating Out",995.738702268
"Wayne","Oakland","Bike/Moped","Eating Out",995.738702268
"Oakland","Wayne","Auto 2 Person","Discretionary",6645.085626615
