LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK,TOD,NumCountsParent,NumCounts,SUT,MUT,PctSUT,PctMUT
160,1,63-5104,2018,25773,25355,417,244,120,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,AM,1,1,41.0562874251497,20.4149377593361,0.000194424758605232,6.85274287092236e-05
160,1,63-5104,2018,25773,25355,417,244,120,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,MD,1,1,126.237125748503,54.7717842323652,0.000597804239981924,0.000183854077024746
160,1,63-5104,2018,25773,25355,417,244,120,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,PM,1,1,40.4718562874252,20.9128630705394,0.000191657146383094,7.01988294094486e-05
160,1,63-5104,2018,25773,25355,417,244,120,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,EV,1,1,11.2502994011976,5.97510373443983,5.32765352761669e-05,2.00568084026996e-05
160,1,63-5104,2018,25773,25355,417,244,120,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,NT,1,1,24.9844311377246,17.9253112033195,0.000118315422496423,6.01704252080988e-05
168,1,63-5103,2018,23774,23359,415,224,60,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,AM,1,1,29.821686746988,9.75,0.000141222565668037,3.27281149612801e-05
168,1,63-5103,2018,23774,23359,415,224,60,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,MD,1,1,101.069879518072,30.25,0.000478623084549138,0.000101541074623459
168,1,63-5103,2018,23774,23359,415,224,60,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,PM,1,1,47.9036144578313,6.5,0.000226850727656801,2.18187433075201e-05
168,1,63-5103,2018,23774,23359,415,224,60,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,EV,1,1,19.7012048192771,4.25,9.32963555996984e-05,1.42661013933785e-05
168,1,63-5103,2018,23774,23359,415,224,60,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,NT,1,1,25.5036144578313,9.25,0.000120774049372212,3.10497500914709e-05
175,1,63-5106,2018,27968,27483,485,237,52,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,AM,1,1,25.4103092783505,4,0.00012033219653712,1.34269189584739e-05
175,1,63-5106,2018,27968,27483,485,237,52,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,MD,1,1,112.147422680412,30,0.000531081521255173,0.000100701892188554
175,1,63-5106,2018,27968,27483,485,237,52,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,PM,1,1,52.5309278350516,9,0.000248763675533469,3.02105676565663e-05
175,1,63-5106,2018,27968,27483,485,237,52,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,EV,1,1,21.9896907216495,4,0.000104133631618661,1.34269189584739e-05
175,1,63-5106,2018,27968,27483,485,237,52,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,0-99,200-499,200-499,NT,1,1,24.9216494845361,5,0.000118018115834483,1.67836486980924e-05
215,1,63-5082,2018,14046,13728,317,155,160,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,100-199,200-499,AM,1,1,34.6116504854369,20.377358490566,0.000163905755064389,6.840128526015e-05
215,1,63-5082,2018,14046,13728,317,155,160,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,100-199,200-499,MD,1,1,62.953074433657,50.8176100628931,0.000298118438559142,0.000170580982994448
215,1,63-5082,2018,14046,13728,317,155,160,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,100-199,200-499,PM,1,1,46.3996763754045,67.1698113207547,0.000219728729615304,0.000225470903264939
215,1,63-5082,2018,14046,13728,317,155,160,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,100-199,200-499,EV,1,1,5.01618122977346,12.8301886792453,2.37544572557085e-05,4.30674759045389e-05
215,1,63-5082,2018,14046,13728,317,155,160,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,100-199,200-499,NT,1,1,6.01941747572816,8.80503144654088,2.85053487068503e-05,2.95561109148796e-05
245,1,63-5319,2018,22087,21772,315,172,60,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,0-99,100-199,200-499,AM,1,1,49.6888888888889,19.5,0.000235305012543988,6.54562299225603e-05
245,1,63-5319,2018,22087,21772,315,172,60,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,0-99,100-199,200-499,MD,1,1,67.1619047619048,21.5,0.000318049632339676,7.21696894017972e-05
245,1,63-5319,2018,22087,21772,315,172,60,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,0-99,100-199,200-499,PM,1,1,34.4,8,0.000162903470222761,2.68538379169478e-05
245,1,63-5319,2018,22087,21772,315,172,60,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,0-99,100-199,200-499,EV,1,1,8.19047619047619,1.5,3.87865405292288e-05,5.03509460942771e-06
245,1,63-5319,2018,22087,21772,315,172,60,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,0-99,100-199,200-499,NT,1,1,12.5587301587302,9.5,5.94726954781509e-05,3.18889325263755e-05
271,1,63-5395,2018,29659,29076,583,300,117,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,AM,1,1,69.8497854077253,21.5,0.000330778268524234,7.21696894017972e-05
271,1,63-5395,2018,29659,29076,583,300,117,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,MD,1,1,130.68669527897,52,0.000618875470142114,0.000174549946460161
271,1,63-5395,2018,29659,29076,583,300,117,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,PM,1,1,73.068669527897,27.5,0.000346021506705074,9.2310067839508e-05
271,1,63-5395,2018,29659,29076,583,300,117,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,EV,1,1,10.6223175965665,5.5,5.03026859967728e-05,1.84620135679016e-05
271,1,63-5395,2018,29659,29076,583,300,117,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,200-499,NT,1,1,15.7725321888412,10.5,7.46918670861172e-05,3.5245662265994e-05
285,0,63-5243,2019,11490,11269,221,151,35,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,100-199,100-199,AM,1,1,26,7.5,0.00012312471586604,2.51754730471386e-05
285,0,63-5243,2019,11490,11269,221,151,35,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,100-199,100-199,MD,1,1,82.5,17,0.000390684194574936,5.70644055735141e-05
285,0,63-5243,2019,11490,11269,221,151,35,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,100-199,100-199,PM,1,1,32.5,7.5,0.00015390589483255,2.51754730471386e-05
285,0,63-5243,2019,11490,11269,221,151,35,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,100-199,100-199,EV,1,1,7,0.5,3.31489619639339e-05,1.67836486980924e-06
285,0,63-5243,2019,11490,11269,221,151,35,4,Minor Arterial,3,Urban,Other Road,3,Oakland,0-99,100-199,100-199,NT,1,1,3,2.5,1.42066979845431e-05,8.39182434904618e-06
335,1,63-5054,2018,31227,30531,696,344,180,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,AM,1,1,56.8390804597701,24,0.0002691652166037,8.05615137508434e-05
335,1,63-5054,2018,31227,30531,696,344,180,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,MD,1,1,168.045977011494,102,0.000795792814306591,0.000342386433441084
335,1,63-5054,2018,31227,30531,696,344,180,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,PM,1,1,71.6666666666667,34.5,0.000339382229630752,0.000115807176016837
335,1,63-5054,2018,31227,30531,696,344,180,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,EV,1,1,16.3103448275862,9.5,7.72387143297574e-05,3.18889325263755e-05
335,1,63-5054,2018,31227,30531,696,344,180,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,3,Oakland,100-199,200-499,500-999,NT,1,1,31.1379310344828,10,0.00014745572735681,3.35672973961847e-05
