TAZ,StationGroup,StationName,StationType,XI,IX,XIIX,ExtGen,ExtAttr,F_BUFFER_MI,F_BUFFER_OH,F_BUFFER_CAN,F_OTHER_MI,F_Mexico,F_US_Central,F_US_East,F_US_South,F_US_West,F_Canada_West,F_Canada_East,F_Canada_ON,F_Canada_QC,ExtLongHaul,ExtShortHaul
2825,Ohio,Other Road,Other Road,22.5321471616626,21.0252438262105,43.5573909878731,21.7786954939365,21.7786954939365,0,0.00429926456109909,0,0,0,0,0,0,0,0,0,0,0,0,21.7786954939365
2826,Michigan,Other Road,Other Road,0.178571511059999,0.178571511059999,0.357143022119999,0.178571511059999,0.178571511059999,4.31682008530406e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178571511059999
2827,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2828,Michigan,US-223 W,Major Highway,265.796560106799,181.30023749359,447.096797600389,223.548398800194,223.548398800194,0.0149962059330561,0,0,0.0273293806197615,0,0,0,0,0,0,0,0,0,161.514422384331,62.0339764158631
2829,Michigan,Other Road,Other Road,31.8723638728261,26.8098629415035,58.6822268143296,29.3411134071648,29.3411134071648,0.00709297395364907,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3411134071648
2830,Michigan,Other Road,Other Road,6.01543965190649,5.55386267602444,11.5693023279309,5.78465116396546,5.78465116396546,0.00139839206057305,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78465116396546
2831,Michigan,Other Road,Other Road,183.334599507973,169.627713019028,352.962312527001,176.4811562635,176.4811562635,0.0426628746944964,0,0,0,0,0,0,0,0,0,0,0,0,0,176.4811562635
2832,Michigan,Other Road,Other Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2833,Michigan,Other Road,Other Road,6.76336663588882,6.97776395827532,13.7411305941641,6.87056529708207,6.87056529708207,0.00166090291199203,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87056529708207
2834,Michigan,Other Road,Other Road,5.64719895273447,6.80064855515957,12.447847507894,6.22392375394702,6.22392375394702,0.00150458261292375,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22392375394702
2835,Michigan,Other Road,Other Road,0.75,1.54648804664612,2.29648804664612,1.14824402332306,1.14824402332306,0.000277578592088291,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14824402332306
2836,Michigan,Other Road,Other Road,60.4413437265903,70.4055277220905,130.846871448681,65.4234357243404,65.4234357243404,0.0158155799717425,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4234357243404
2837,Michigan,Other Road,Other Road,6.21821510326117,6.50083635840565,12.7190514616668,6.35952573083341,6.35952573083341,0.00153736328067726,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35952573083341
2838,Michigan,Other Road,Other Road,99.7694310806692,106.299100615084,206.068531695753,103.034265847877,103.034265847877,0.0249076902382949,0,0,0,0,0,0,0,0,0,0,0,0,0,103.034265847877
2839,Michigan,Other Road,Other Road,3.03922646678984,3.11233459971845,6.15156106650829,3.07578053325415,3.07578053325415,0.000743544762830478,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07578053325415
2840,Michigan,Other Road,Other Road,83.0317529141903,89.4062323123217,172.437985226512,86.218992613256,86.218992613256,0.020842735598655,0,0,0,0,0,0,0,0,0,0,0,0,0,86.218992613256
