GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26019000200,26019000200,Census Tract 2, Benzie County, Michigan,1290,31,397,594,165,103
1400000US26019000300,26019000300,Census Tract 3, Benzie County, Michigan,801,37,306,327,101,30
1400000US26019000400,26019000400,Census Tract 4, Benzie County, Michigan,903,65,338,334,104,62
1400000US26019000500,26019000500,Census Tract 5, Benzie County, Michigan,1125,49,328,488,206,54
1400000US26019990000,26019990000,Census Tract 9900, Benzie County, Michigan,0,0,0,0,0,0
1400000US26021000300,26021000300,Census Tract 3, Berrien County, Michigan,804,178,306,230,44,46
1400000US26021000400,26021000400,Census Tract 4, Berrien County, Michigan,1120,485,442,145,34,14
1400000US26021000500,26021000500,Census Tract 5, Berrien County, Michigan,573,162,219,148,3,41
1400000US26021000600,26021000600,Census Tract 6, Berrien County, Michigan,1392,236,671,383,88,14
1400000US26021000700,26021000700,Census Tract 7, Berrien County, Michigan,1265,38,531,472,180,44
1400000US26021000800,26021000800,Census Tract 8, Berrien County, Michigan,2617,253,1234,795,239,96
1400000US26021000900,26021000900,Census Tract 9, Berrien County, Michigan,1010,32,551,303,99,25
1400000US26021001000,26021001000,Census Tract 10, Berrien County, Michigan,836,24,295,404,86,27
1400000US26021001100,26021001100,Census Tract 11, Berrien County, Michigan,1599,49,313,930,170,137
1400000US26021001300,26021001300,Census Tract 13, Berrien County, Michigan,953,56,280,408,154,55
1400000US26021001400,26021001400,Census Tract 14, Berrien County, Michigan,1705,76,500,736,297,96
1400000US26021001500,26021001500,Census Tract 15, Berrien County, Michigan,1523,38,632,634,170,49
1400000US26021001600,26021001600,Census Tract 16, Berrien County, Michigan,935,20,260,456,144,55
1400000US26021001700,26021001700,Census Tract 17, Berrien County, Michigan,1797,73,370,974,267,113
1400000US26021001800,26021001800,Census Tract 18, Berrien County, Michigan,1604,38,282,706,412,166
1400000US26021001900,26021001900,Census Tract 19, Berrien County, Michigan,788,56,211,350,116,55
1400000US26021002000,26021002000,Census Tract 20, Berrien County, Michigan,1611,247,816,394,118,36
